entrez	symbol	CMPO
10576	CCT2	CMPO:0000182
10580	SORBS1	CMPO:0000346
10581	IFITM2	CMPO:0000182
10588	MTHFS	CMPO:0000105
10591	DNPH1	CMPO:0000182
10591	DNPH1	CMPO:0000345
10592	SMC2	CMPO:0000329
10592	SMC2	CMPO:0000157
10592	SMC2	CMPO:0000318
10592	SMC2	CMPO:0000202
10594	PRPF8	CMPO:0000319
10594	PRPF8	CMPO:0000030
10594	PRPF8	CMPO:0000362
10594	PRPF8	CMPO:0000156
10594	PRPF8	CMPO:0000346
10594	PRPF8	CMPO:0000326
10594	PRPF8	CMPO:0000182
10594	PRPF8	CMPO:0000318
10594	PRPF8	CMPO:0000157
10594	PRPF8	CMPO:0000307
10594	PRPF8	CMPO:0000202
10594	PRPF8	CMPO:0000348
10602	CDC42EP3	CMPO:0000345
10602	CDC42EP3	CMPO:0000182
10603	SH2B2	CMPO:0000307
10603	SH2B2	CMPO:0000202
10603	SH2B2	CMPO:0000348
10603	SH2B2	CMPO:0000071
10603	SH2B2	CMPO:0000326
10603	SH2B2	CMPO:0000077
10603	SH2B2	CMPO:0000182
10607	TBL3	CMPO:0000030
10608	MXD4	CMPO:0000318
10608	MXD4	CMPO:0000319
10608	MXD4	CMPO:0000345
10617	STAMBP	CMPO:0000182
1062	CENPE	CMPO:0000326
1062	CENPE	CMPO:0000213
1062	CENPE	CMPO:0000307
1062	CENPE	CMPO:0000182
1062	CENPE	CMPO:0000348
1062	CENPE	CMPO:0000202
1062	CENPE	CMPO:0000156
1062	CENPE	CMPO:0000030
1062	CENPE	CMPO:0000157
10621	POLR3F	CMPO:0000345
10621	POLR3F	CMPO:0000318
10621	POLR3F	CMPO:0000182
10621	POLR3F	CMPO:0000319
10622	POLR3G	CMPO:0000319
10623	POLR3C	CMPO:0000140
10623	POLR3C	CMPO:0000328
10623	POLR3C	CMPO:0000345
10628	TXNIP	CMPO:0000140
10629	TAF6L	CMPO:0000318
10642	IGF2BP1	CMPO:0000182
10644	IGF2BP2	CMPO:0000182
10652	YKT6	CMPO:0000182
10653	SPINT2	CMPO:0000318
10654	PMVK	CMPO:0000182
10655	DMRT2	CMPO:0000318
10657	KHDRBS1	CMPO:0000318
10659	CELF2	CMPO:0000030
1066	CES1	CMPO:0000319
1066	CES1	CMPO:0000318
10663	CXCR6	CMPO:0000182
10667	FARS2	CMPO:0000318
10668	CGRRF1	CMPO:0000071
10668	CGRRF1	CMPO:0000318
10668	CGRRF1	CMPO:0000077
10668	CGRRF1	CMPO:0000319
10670	RRAGA	CMPO:0000213
10670	RRAGA	CMPO:0000318
10672	GNA13	CMPO:0000345
10673	TNFSF13B	CMPO:0000318
10675	CSPG5	CMPO:0000318
10675	CSPG5	CMPO:0000346
10682	EBP	CMPO:0000346
10686	CLDN16	CMPO:0000182
10687	PNMA2	CMPO:0000318
10687	PNMA2	CMPO:0000319
10690	FUT9	CMPO:0000236
10693	CCT6B	CMPO:0000030
10694	CCT8	CMPO:0000157
10694	CCT8	CMPO:0000318
10694	CCT8	CMPO:0000182
10694	CCT8	CMPO:0000348
10694	CCT8	CMPO:0000319
10694	CCT8	CMPO:0000202
10694	CCT8	CMPO:0000307
10699	CORIN	CMPO:0000182
1070	CETN3	CMPO:0000182
10713	USP39	CMPO:0000182
10714	POLD3	CMPO:0000157
1072	CFL1	CMPO:0000154
1072	CFL1	CMPO:0000071
1072	CFL1	CMPO:0000340
10723	SLC12A7	CMPO:0000182
10726	NUDC	CMPO:0000307
10726	NUDC	CMPO:0000157
10726	NUDC	CMPO:0000348
10733	PLK4	CMPO:0000213
10733	PLK4	CMPO:0000348
10733	PLK4	CMPO:0000344
10733	PLK4	CMPO:0000157
10733	PLK4	CMPO:0000202
10733	PLK4	CMPO:0000362
10733	PLK4	CMPO:0000326
10736	SIX2	CMPO:0000318
10736	SIX2	CMPO:0000319
10745	PHTF1	CMPO:0000319
10745	PHTF1	CMPO:0000318
10746	MAP3K2	CMPO:0000213
10752	CHL1	CMPO:0000182
10755	GIPC1	CMPO:0000182
10758	TRAF3IP2	CMPO:0000182
10762	NUP50	CMPO:0000129
10763	NES	CMPO:0000318
10763	NES	CMPO:0000083
10767	HBS1L	CMPO:0000318
10769	PLK2	CMPO:0000348
10769	PLK2	CMPO:0000157
10769	PLK2	CMPO:0000318
10783	NEK6	CMPO:0000328
10786	SLC17A3	CMPO:0000182
10797	MTHFD2	CMPO:0000318
10798	OR5I1	CMPO:0000345
1080	CFTR	CMPO:0000318
1080	CFTR	CMPO:0000319
10800	NA	CMPO:0000319
10800	NA	CMPO:0000318
10800	NA	CMPO:0000237
10844	TUBGCP2	CMPO:0000345
