Entrez Gene Interactor A,Entrez Gene Interactor B
60561,53407
9183,60561
9183,53407
9183,60561
51147,5970
1499,999
6272,4803
10001,1024
6256,9025
6256,9025
6256,9025
4035,821
4035,811
596,578
596,598
5058,9181
5058,9181
8825,8573
8021,7538
8021,7538
7538,8021
5329,3827
26994,10617
26994,10617
26994,10617
1788,8554
7329,1788
1788,7329
1788,8554
8554,1788
7329,1788
8554,1788
1788,1789
5058,10095
10095,5058
207,5058
10095,5058
10256,5900
7046,4092
51024,51024
23263,5879
23263,998
27086,27086
27086,93986
93986,93986
5578,22927
10403,57405
10403,83540
10403,57405
10403,57405
57405,10403
90627,2036
90627,6604
90627,8887
90627,3708
3708,9478
3708,9478
3621,55929
3621,55929
6833,11069
7046,4092
6261,10345
10891,9968
10891,9477
10891,9968
5468,10891
10891,5468
23118,23118
7430,79026
695,2969
695,2969
9470,25820
25820,9470
7220,2911
8914,54962
8914,54962
54962,6117
54962,6117
8914,1408
8914,1111
7329,8554
7341,8554
5997,5592
5997,5592
4297,551
4297,5020
481,5348
476,5348
57787,4627
57787,3308
57787,7283
57787,203068
57787,7283
9924,26986
6240,6241
6240,50484
5914,8204
5914,8850
9368,6550
11073,1869
2064,2064
988,5356
5663,51107
51107,5663
54869,71
57496,6722
57496,57496
27347,9381
27347,65266
1432,27347
7428,5702
7428,5702
5702,7428
7428,3091
5702,3091
2932,898
1959,3054
5578,6624
6624,5578
9611,9682
9611,3308
9611,2874
9611,3832
9611,51592
26019,26019
26019,5394
26019,54512
10928,5899
8661,3646
8661,8665
8661,8667
9053,59341
59341,9053
59341,9053
10210,7341
401,3725
3708,7220
3708,7223
3708,7224
3708,7225
1508,1476
1508,1471
3308,3337
3308,3337
9149,10048
10048,9149
9149,10048
10254,9101
5868,79890
274,79890
274,79890
3984,659
3984,1072
7082,50848
60491,60491
4773,4773
9425,3065
3065,9425
9425,3065
904,1025
11331,5757
11331,5757
8726,96764
7134,7137
8458,988
988,8458
59307,59307
3554,59307
7341,7329
7341,10055
7341,10054
8500,28964
8499,28964
8499,28964
8500,28964
8500,28964
8500,80852
5460,6657
3065,9112
3065,9219
3065,3065
9219,9112
9219,3065
9112,9219
9112,3065
3065,5931
9219,5931
9112,3065
9112,5931
904,196
196,904
904,196
6602,6601
1613,1616
1616,1613
5515,6904
402,6904
402,5515
402,5516
402,5528
4734,868
868,4734
4734,868
23405,26523
23405,192670
23405,143689
3576,6382
4043,7804
11033,5584
11033,5584
7534,5584
5581,11033
1195,9611
1195,6428
1195,6294
843,8837
3635,4067
3635,4067
7417,578
4760,4294
4760,9001
4760,4294
4294,4760
5058,5879
6996,5914
6996,6256
6996,7421
4087,6497
27130,4867
4867,27130
4867,203068
1789,23468
23468,1789
1788,1789
1788,23468
27429,331
27429,330
2935,331
51024,10059
10059,51024
10059,51024
9743,2904
9743,2904
2904,9743
9743,387
9743,998
7220,7225
7223,7225
7223,7220
7224,7225
7224,7220
890,983
10859,3107
6845,9342
6845,26985
638,598
598,638
638,596
10726,5347
5347,10726
5347,10726
382,23396
81620,8454
64689,64689
5868,9371
904,1025
1025,904
904,1025
6196,5595
6196,5594
54212,6814
1499,9368
1499,999
1499,9368
4297,3065
4297,3065
10628,3065
9846,9743
9743,9846
9743,5879
9743,998
9564,9743
9743,9564
5164,1737
27185,55729
27185,81565
27185,10048
27185,81565
27185,10048
24137,10362
10362,24137
24137,10362
9033,7137
9033,7137
4301,613
4301,613
613,4301
4301,4893
6286,7430
6286,7430
7415,7415
6271,5837
6271,2697
6271,488
6271,151056
135,1813
135,135
135,1813
7175,57122
7175,23165
7175,9688
7175,9972
7175,9972
7175,9972
375,1131
382,1131
375,1131
382,1131
81565,5048
81565,5048
8682,6197
8682,6197
6197,8682
3107,3107
2932,4853
4853,2932
2932,4853
207,57761
57761,207
6464,4035
6464,4035
5499,8726
8819,3065
2833,4283
2516,8204
10928,891
10928,891
5371,11073
11073,5371
387,11113
387,11113
387,3895
6814,2054
2054,6814
308,3693
3693,308
25913,8658
598,7416
387,3708
387,7220
387,3708
387,7220
1111,63967
1111,63967
545,63967
8243,9126
9126,8243
5817,25945
22944,6118
22944,6117
51147,2033
84289,2033
2033,51147
2033,84289
1499,51176
1869,1387
1871,1387
10910,6277
10910,6277
6277,10910
10270,4171
4171,10270
10270,4171
4171,10270
1741,2904
2904,1741
57761,5970
5970,57761
2690,6449
6449,2690
2690,6449
9466,3716
5364,8153
5364,9826
4734,6446
5371,904
904,5371
904,5371
51742,3065
51742,64426
64426,3065
6829,10419
6829,6827
10419,6829
6829,10419
9564,5782
4152,23468
4152,23468
4152,23468
6657,5080
5080,6657
59286,1195
3480,4734
11073,1869
23468,4152
5594,5604
5604,5594
5608,1432
1432,5594
1432,5595
4171,4175
4171,4176
4175,4171
4175,4175
4175,4176
4176,4171
4176,4176
4171,4175
9212,29127
831,823
7428,10168
7428,10168
7428,10168
3091,10168
3091,7428
156,5579
695,5579
156,5579
1066,1066
10979,54751
10979,54751
54751,10979
3708,2036
2036,3708
3708,2036
4793,5970
4793,5970
151636,7321
151636,7322
151636,7323
151636,151636
1840,151636
3054,3065
3054,64426
3054,5931
3054,3308
3054,3065
3054,64426
151987,5531
5970,3146
4152,55729
4152,55729
54457,6872
